YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2016//4//15,106,05::19:53,18::59:13,12::09:05,9.098,18.391000000000002,3.906,3.583,-,-,-,-,-,-,9.5,17.64,-3.5351000000000004,0.8589,-0.057600000000000005,0.2508,-
2016//4//16,107,05::18:00,19::00:37,12::08:51,9.168000000000001,18.471,5.675,2.997,-,-,-,-,-,-,7.46,22.77,-4.3662,0.17500000000000002,-0.0945,0.276,-
2016//4//17,108,05::16:08,19::02:03,12::08:37,9.236,18.528,6.482,2.943,-,-,-,-,-,-,10.4,27.47,-4.3434,0.196,-0.0219,0.30160000000000003,-
2016//4//18,109,05::14:18,19::03:27,12::08:24,9.304,18.585,6.726,2.914,-,-,-,-,-,-,12.64,34.86,-4.9148000000000005,0.602,-0.1794,0.3326,-
2016//4//19,110,05::12:28,19::04:52,12::08:12,9.371,18.664,6.705,2.899,-,-,-,-,-,-,14.120000000000001,30.14,-5.0378,0.3116,-0.0746,0.31620000000000004,-
2016//4//20,111,05::10:38,19::06:17,12::07:59,9.438,18.699,6.846,2.9090000000000003,-,-,-,-,-,-,13.75,30.79,-4.7041,0.40890000000000004,-0.1109,0.31670000000000004,-
2016//4//21,112,05::08:49,19::07:41,12::07:47,9.503,18.778,6.384,3.045,-,-,-,-,-,-,12.620000000000001,27.060000000000002,-4.5555,0.8375,-0.0233,0.37210000000000004,-
2016//4//22,113,05::07:01,19::09:06,12::07:36,9.568,18.835,1.909,6.305,-,-,-,-,-,-,12.31,17.76,-3.9386,0.5692,-0.096,0.34740000000000004,-
2016//4//23,114,05::05:15,19::10:29,12::07:25,9.632,18.914,5.29,3.347,-,-,-,-,-,-,11.370000000000001,20.240000000000002,-3.5905,0.539,0.0257,0.31970000000000004,-
2016//4//24,115,05::03:30,19::11:55,12::07:14,9.696,18.949,2.578,5.292,-,-,-,-,-,-,7.98,13.75,-3.6275000000000004,0.9065000000000001,-0.0218,0.4456,-
