Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),-,-,-,-,Assorted Daily Values (Rows 12 - 42)
1980.1728142076504,64.25,1980-03-04--06:00:00,101.20516,87.40366,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.172928051002,64.29166666666666,1980-03-04--07:00:00,90.38493000000001,98.12772000000001,0,0.,5.,12,0.,72,0.,12,5.,72,NA,11,NA,11,-
1980.1730418943534,64.33333333333333,1980-03-04--08:00:00,80.54149000000001,109.08994000000001,224.66,1367.1100000000001,96.,12,55.54,72,338.,12,40.46,72,NA,11,NA,11,-
1980.1731557377052,64.375,1980-03-04--09:00:00,71.11068,120.98126,447.95,1383.66,284.,12,217.23000000000002,72,671.,12,66.77,72,NA,11,NA,11,-
1980.1732695810567,64.41666666666666,1980-03-04--10:00:00,62.84429000000001,134.47772,631.5,1383.63,413.,12,308.08,72,675.,12,104.92,72,NA,11,NA,11,-
1980.1733834244083,64.45833333333333,1980-03-04--11:00:00,56.43424,150.10622,764.98,1383.6000000000001,552.,12,369.89,72,669.,12,182.11,72,NA,11,NA,11,-
1980.1734972677598,64.5,1980-03-04--12:00:00,52.660270000000004,167.84677000000002,839.19,1383.57,553.,12,303.88,72,501.,12,249.12,72,NA,11,NA,11,-
1980.1736111111113,64.54166666666666,1980-03-04--13:00:00,52.144110000000005,186.68792000000002,849.0500000000001,1383.54,449.,12,147.28,72,240.,12,301.72,72,NA,11,NA,11,-
1980.1737249544628,64.58333333333333,1980-03-04--14:00:00,54.982380000000006,204.91657,793.9,1383.51,570.,12,337.98,72,589.,12,232.02,72,NA,11,NA,11,-
1980.1738387978144,64.625,1980-03-04--15:00:00,60.67676,221.22751000000002,677.54,1383.48,521.,12,400.6,72,818.,12,120.4,72,NA,11,NA,11,-
1980.173952641166,64.66666666666666,1980-03-04--16:00:00,68.45677,235.33397000000002,508.01,1383.45,310.,12,161.94,72,441.,12,148.06,72,NA,11,NA,11,-
1980.1740664845174,64.70833333333333,1980-03-04--17:00:00,77.59432000000001,247.65287,297.2,1383.42,111.,12,23.42,72,109.,12,87.58,72,NA,11,NA,11,-
1980.174180327869,64.75,1980-03-04--18:00:00,87.39476,258.84115,62.88,1383.39,15.,12,0.18,72,4.,12,14.82,72,NA,11,NA,11,-
1980.1742941712205,64.79166666666666,1980-03-04--19:00:00,97.98814,269.58865000000003,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1744080145722,64.83333333333333,1980-03-04--20:00:00,108.39893000000001,280.60738000000003,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1745218579238,64.875,1980-03-04--21:00:00,118.39855000000001,292.70721000000003,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
