"Day of month","Day of year","Time Sunrise (HH::MM:SS)","Time Sunset (HH::MM:SS)","Time Solar Noon (HH::MM:SS)","Daily Total Energy ETR (kW h/m^2)","Daily Total Energy ETRn (kW h/m^2)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Minimum daily value","Maximum daily value","Average Nighttime Value","Standard Deviation Nighttime","Average Nighttime Value","Standard Deviation Nighttime","Assorted Daily Values (Rows 12 - 42)"
1980.330952109897,122.12847222222221,"1980-05-01--03:05:00",105.64439000000002,47.21867,0,0.,-0.98,12,-0.96,72,-0.96,12,-0.98,72,5.42,11,-1.11,11,-0.51,11,"-"
1980.3309615968428,122.13194444444444,"1980-05-01--03:10:00",104.99772000000002,48.27532,0,0.,-0.03,12,-0.55,72,-0.55,12,-0.03,72,5.33,11,-0.16,11,-0.1,11,"-"
1980.3309710837889,122.13541666666666,"1980-05-01--03:15:00",104.34031,49.32170000000001,0,0.,-0.03,12,-0.55,72,-0.55,12,-0.03,72,5.51,11,-0.16,11,-0.1,11,"-"
1980.330980570735,122.13888888888889,"1980-05-01--03:20:00",103.67248000000001,50.35802,0,0.,-0.5,12,-0.55,72,-0.55,12,-0.5,72,5.51,11,-0.63,11,-0.1,11,"-"
1980.3309900576808,122.1423611111111,"1980-05-01--03:25:00",102.99451,51.38448,0,0.,-0.03,12,-0.15,72,-0.15,12,-0.03,72,5.42,11,-0.16,11,0.3,11,"-"
1980.3309995446268,122.14583333333333,"1980-05-01--03:30:00",102.3067,52.40131,0,0.,-0.5,12,-0.55,72,-0.55,12,-0.5,72,5.6000000000000005,11,-0.63,11,-0.1,11,"-"
1980.3310090315726,122.14930555555554,"1980-05-01--03:35:00",101.60932000000001,53.40876,0,0.,-0.5,12,-0.55,72,-0.55,12,-0.5,72,5.42,11,-0.63,11,-0.1,11,"-"
1980.3310185185187,122.15277777777777,"1980-05-01--03:40:00",100.90262000000001,54.407050000000005,0,0.,-0.5,12,-0.55,72,-0.55,12,-0.5,72,5.42,11,-0.63,11,-0.1,11,"-"
1980.3310280054648,122.15625,"1980-05-01--03:45:00",100.18686000000001,55.396460000000005,0,0.,-0.03,12,-0.55,72,-0.55,12,-0.03,72,5.42,11,-0.16,11,-0.1,11,"-"
1980.3310374924106,122.15972222222221,"1980-05-01--03:50:00",99.46226000000001,56.37724000000001,0,0.,-0.98,12,-0.96,72,-0.96,12,-0.98,72,5.33,11,-1.11,11,-0.51,11,"-"
1980.3310469793566,122.16319444444444,"1980-05-01--03:55:00",98.72901,57.34966000000001,0,0.,-0.98,12,-0.96,72,-0.96,12,-0.98,72,4.98,11,-1.11,11,-0.51,11,"-"
1980.3310564663025,122.16666666666666,"1980-05-01--04:00:00",97.98726,58.313990000000004,0,0.,-0.98,12,-1.36,72,-1.36,12,-0.98,72,4.8100000000000005,11,-1.11,11,-0.91,11,"-"
1980.3310659532485,122.17013888888889,"1980-05-01--04:05:00",97.23710000000001,59.270520000000005,0,0.,0.91,12,0.65,72,0.65,12,0.91,72,5.16,11,0.78,11,1.1,11,"-"
1980.3310754401946,122.1736111111111,"1980-05-01--04:10:00",96.47855000000001,60.219530000000006,0,0.,-0.5,12,-0.55,72,-0.55,12,-0.5,72,4.98,11,-0.63,11,-0.1,11,"-"
1980.3310849271404,122.17708333333333,"1980-05-01--04:15:00",95.71144000000001,61.16132,0,0.,-0.03,12,0.25,72,0.25,12,-0.03,72,5.16,11,-0.16,11,0.7000000000000001,11,"-"
1980.3310944140865,122.18055555555554,"1980-05-01--04:20:00",94.93538000000001,62.096180000000004,0,0.,-0.03,12,-0.15,72,-0.15,12,-0.03,72,5.16,11,-0.16,11,0.3,11,"-"
1980.3311039010323,122.18402777777777,"1980-05-01--04:25:00",94.14943000000001,63.024420000000006,0,0.,-0.5,12,-0.55,72,-0.55,12,-0.5,72,4.98,11,-0.63,11,-0.1,11,"-"
1980.3311133879783,122.1875,"1980-05-01--04:30:00",93.3516,63.94633,0,0.,-0.03,12,-0.96,72,-0.96,12,-0.03,72,4.9,11,-0.16,11,-0.51,11,"-"
1980.3311228749242,122.19097222222221,"1980-05-01--04:35:00",92.53716000000001,64.86223000000001,0,0.,-0.03,12,-0.55,72,-0.55,12,-0.03,72,4.8100000000000005,11,-0.16,11,-0.1,11,"-"
1980.3311323618702,122.19444444444444,"1980-05-01--04:40:00",91.69286000000001,65.77243,0,0.,1.3900000000000001,12,-0.15,72,-0.15,12,1.3900000000000001,72,4.9,11,1.26,11,0.3,11,"-"
1980.3311418488163,122.19791666666666,"1980-05-01--04:45:00",90.76479,66.67725,0,0.,2.8000000000000003,12,0.25,72,0.25,12,2.8000000000000003,72,4.98,11,2.67,11,0.7000000000000001,11,"-"
1980.3311513357621,122.20138888888889,"1980-05-01--04:50:00",89.75209000000001,67.57701,2.95,680.89,5.63,92,0.,92,0.25,92,5.63,92,5.25,11,5.5,91,0.7000000000000001,91,"-"
1980.3311608227082,122.2048611111111,"1980-05-01--04:55:00",89.05203,68.47203,22.16,1339.14,7.98,92,0.1,92,5.88,92,7.88,92,5.33,11,7.8500000000000005,91,6.33,91,"-"
1980.331170309654,122.20833333333333,"1980-05-01--05:00:00",88.31732000000001,69.36264,39.32,1339.14,12.22,92,1.11,92,37.67,92,11.11,92,5.07,11,12.09,91,38.12,91,"-"
1980.3311797966,122.21180555555554,"1980-05-01--05:05:00",87.55657000000001,70.24916,57.09,1339.13,17.87,12,3.08,72,72.27,12,14.790000000000001,72,5.16,11,17.740000000000002,11,72.72,11,"-"
1980.331189283546,122.21527777777777,"1980-05-01--05:10:00",86.77664,71.13194,75.3,1339.13,23.52,12,6.08,72,108.08,12,17.44,72,4.98,11,23.39,11,108.53,11,"-"
1980.331198770492,122.21875,"1980-05-01--05:15:00",85.98249000000001,72.01131000000001,93.82000000000001,1339.13,32.47,12,9.94,72,141.87,12,22.53,72,5.25,11,32.34,11,142.32,11,"-"
1980.331208257438,122.22222222222221,"1980-05-01--05:20:00",85.17638000000001,72.88762000000001,112.61,1339.13,41.42,12,14.91,72,177.28,12,26.51,72,5.51,11,41.29,11,177.73,11,"-"
1980.3312177443838,122.22569444444444,"1980-05-01--05:25:00",84.36102000000001,73.7612,131.58,1339.1200000000001,51.79,12,21.330000000000002,72,217.11,12,30.46,72,6.04,11,51.660000000000004,11,217.56,11,"-"
1980.3312272313299,122.22916666666666,"1980-05-01--05:30:00",83.53794,74.63241000000001,150.71,1339.1200000000001,62.15,12,28.46,72,252.92000000000002,12,33.69,72,6.21,11,62.02,11,253.37,11,"-"
1980.331236718276,122.23263888888889,"1980-05-01--05:35:00",82.70857000000001,75.50160000000001,169.96,1339.1200000000001,72.98,12,35.32,72,278.26,12,37.660000000000004,72,6.5600000000000005,11,72.85000000000001,11,278.71,11,"-"
1980.3312462052218,122.2361111111111,"1980-05-01--05:40:00",81.87371,76.36913000000001,189.29,1339.1200000000001,85.7,12,43.88,72,310.45,12,41.82,72,6.91,11,85.57000000000001,11,310.90000000000003,11,"-"
1980.3312556921678,122.23958333333333,"1980-05-01--05:45:00",81.03404,77.23537,208.70000000000002,1339.1100000000001,94.18,92,49.45,92,317.29,92,44.730000000000004,92,7.09,11,94.05,91,317.74,91,"PermanentObstruction(GHI_original)_PermanentObstruction(DNI_original)_PermanentObstruction(GHI)_PermanentObstruction(DNI)_PermanentObstruction(DHI_Calc)_PermanentObstruction(DrHI_Calc)_"
